title,job_type,salary,skills,address,company_name,company_description
"Java Developer (Spring, MySQL, Postgres)",FULL_TIME,Upto 25 mil vnd (gross),"Java, MySQL, Spring","Garden Plaza 1, District 7, Ho Chi Minh",Avenue,World class implementer of IBM Maximo EAM software
3 Tester (QA/ QC),FULL_TIME,Upto $900,"Tester, QA QC","Tầng 8 - Tòa nhà CTM Complex số 139 đường Cầu Giấy, Quan Hoa, Cầu Giấy, Hà Nội., Cau Giay, Ha Noi",FSI,Công ty CP Đầu tư Thương mại và Phát triển Công nghệ FSI
QA Leader (Tester),FULL_TIME,You'll love it,"QA QC, Team Leader, Tester","152 Dien Bien Phu, Binh Thanh, Ho Chi Minh",Splash Interactive Vietnam,"A part of Splash Interactive Group, a digital marketing agency head-quartered in Singapore"
QA Engineering Manager,FULL_TIME,You'll love it,"QA QC, Java, Manager","11 Doan Van Bo, District 4, Ho Chi Minh",AXON,AXON
DATA SCIENCE LEAD (R / Python/ SQL),FULL_TIME,You'll love it,"Python, English","Sailing Tower Building, District 1, Ho Chi Minh",Vietnam International Bank (VIB),One of the leading commercial joint stock banks in Vietnam
Senior QA Automation Engineer - RMS,FULL_TIME,You'll love it,"QA QC, English, Tester","11 Doan Van Bo, District 4, Ho Chi Minh",AXON,AXON
"IT Manager (PHP, JavaScript) Up to 35M",FULL_TIME,25 - 35m,"Manager, JavaScript, PHP","Nguyễn Thị Thập, Cau Giay, Ha Noi",Hệ thống Giáo dục HOCMAI ,"Công ty hàng đầu về cung cấp các dịch vụ giáo dục, đặc biệt là dịch vụ học tập trực tuyến"
Mobile Dev (Android/iOS/React Native),FULL_TIME,"700 - 1,500 USD","Android, iOS, React Native","Tòa nhà Thành Công, 80 Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi",VIETTELIMEX ( A Member of Viettel Group), VIETTELIMEX -Công ty TNHH Nhà nước Một Thành viên Thương mại và Xuất nhập khẩu Viettel
"Jr. Full-stack Developer (.NET, ReactJS)",FULL_TIME,500 - 900 USD,".NET, JavaScript, ReactJS"," BCONS TOWER 2 - 42/1 Ung Van Khiem Street, Ward 25, Binh Thanh, Ho Chi Minh",Fetch Technology,Startups. Developers. Family.
Test Engineer,FULL_TIME,"1,000 - 1,300 USD","Tester, Java, QA QC","02 Hồng Hà, Tan Binh, Ho Chi Minh",Karros Technologies,Innovative Transportation Solutions
10 Embedded SW Test Engineer,FULL_TIME,You'll love it,"Tester, Embedded, QA QC","06 Nguyen Thi Minh Khai, District 1, Ho Chi Minh",Hella Vietnam,One of the world‘s leading suppliers to the automotive sector
Senior Java Developer,FULL_TIME,"1,500 - 2,500 USD","Java, OOP, Team Leader","02 Hồng Hà, Tan Binh, Ho Chi Minh",Karros Technologies,Innovative Transportation Solutions
Mobile Developer (React Native),FULL_TIME,Up to $1300,"React Native, JavaScript","09 Song Nhue Street, Tan Binh, Ho Chi Minh",ASIM TELECOM,ASIM TELECOM
Front End Developer (ReactJS/VueJS),FULL_TIME,You'll love it,"ReactJS, JavaScript, VueJS","12th Floor, An Phu Plaza,117 - 119 Ly Chinh Thang Street, Ward 7, District 3, Ho Chi Minh",Wakka Data Service,Công ty Wakka Data Service 
DevOps Engineer,FULL_TIME,You'll love it,"DevOps, Linux","Tầng 22 , Wework số 11 Đoàn Văn Bơ, District 4, Ho Chi Minh",VINBRAIN,VinBrain
"Backend Developer (MVC, .NET Core, .Net)",FULL_TIME,"1,000 - 2,000 usd (gross)","C#, ASP.NET, .NET"," TEDI Building,15A , Hoang Hoa Tham, Binh Thanh, Ho Chi Minh",Ahasoft,Ahasoft
Quality Assurance (Manual testing),FULL_TIME,"600 - 1,500 USD","Tester, Business Analyst, QA QC","International Centre, Floor 4, 17 Phố Ngô Quyền, Tràng Tiền, Hoan Kiem, Ha Noi",Wirecard (Vietnam),Increase businesses’ value and ease people lives by providing digital payment technology.
Fullstack Developers (NodeJS/ReactJS),FULL_TIME,"1,500 - 2,000 USD","ReactJS, NodeJS, React Native","39 Le Thach Street, District 4, Ho Chi Minh",Wonderlabs,Work with the leading technology company from Singapore!
Java / .NET Developers (ReactJS),FULL_TIME,"1,200 - 2,000 USD","Java, ReactJS, .NET","39 Le Thach Street, District 4, Ho Chi Minh",Wonderlabs,Work with the leading technology company from Singapore!
System Engineer (Linux),FULL_TIME,You'll love it,"Linux, System Engineer","106 Nguyễn Văn Trỗi, Phường 8, Quận Phú Nhuận, Phu Nhuan, Ho Chi Minh",Netacom,Netacom
"Mid/Sr. PHP Developer (Laravel, Symfony)",FULL_TIME,Up to $1500 net,"PHP, English, Laravel","2 Nguyen The Loc, Ward 12, Tan Binh, Ho Chi Minh",Saigon Technology Solutions,A fast growing software development company in Viet Nam
Technical Lead - PHP/ React Native,FULL_TIME,Competitive package,"PHP, React Native","55 Nguyễn Văn Giai, Dakao, District 1, Ho Chi Minh",WeSport,WeSport  - The Next Generation Sports Platform
Senior ReactJS Developer (up to $3000),FULL_TIME,You'll love it,"ReactJS, JavaScript","5 Dong Da , Tan Binh, Ho Chi Minh",Codebox Solutions,Work on cutting edge technologies and rocket your career! 
Lập trình viên (Java/ .NET/ PHP),FULL_TIME,10 – 30 triệu/tháng,"Java, PHP, .NET","Tầng 10, Tòa nhà MITEC, đường Dương Đình Nghệ, Phường Yên Hòa, Cau Giay, Ha Noi",CÔNG TY CỔ PHẦN CYBERLOTUS,CyberLotus - Đối tác công nghệ số đáng tin cậy
Backend Engineer (Python),FULL_TIME,"800 - 2,500 USD","Python, Django, AWS","143-145 Ton Dat Tien, KP Garden Court 2, District 7, Ho Chi Minh",Parcel Perform,Parcel Perform is a global SaaS company that aims to change the way e-commerce logistics is built
Business Analyst Lead / PO (Upto $1500),FULL_TIME,"1,000 - 1,500 USD","Business Analyst, Team Leader, English","Tòa nhà N03-T1 khu đô thị Ngoại giao đoàn, Bac Tu Liem, Ha Noi",Misa ,"Phát triển các hệ thống phần mềm lớn phục vụ hàng triệu người dùng: Kế toán, HRM, CRM, Nhà hàng..."
Senior Front-end (React/ Angular),FULL_TIME,Attractive salary,"JavaScript, ReactJS, Angular","123 Cong Hoa, ward 12, Tan Binh, Ho Chi Minh",KMS Technology,"Agile, Innovative & Excellent Global Technology Company with deep roots in Vietnam"
Senior Java Developer,FULL_TIME,You'll love it,"Java, AWS, Angular","02 Tan Vien, ward 2 Tan Binh, Tan Binh, Ho Chi Minh",KMS Technology,"Agile, Innovative & Excellent Global Technology Company with deep roots in Vietnam"
"Tech Lead (PHP, Javascript)",FULL_TIME,You'll love it,"PHP, JavaScript, ReactJS","72 Lê Thánh Tôn, District 1, Ho Chi Minh",NFQ Asia (8bit Rockstars),NFQ Asia is part of the global NFQ Group. We help ambitious fast-moving international startups
"Java Senior (Spring, MySQL)",FULL_TIME,"800 - 1,700 USD","Java, MySQL, Spring","Tầng 7 - số 58 Lê Văn Thiêm – Thanh Xuân – Hà Nội, Thanh Xuan, Ha Noi",Q-Tec System,Công Ty TNHH Q-Tec là một công ty IT mới thành lập ở Việt Nam có liên kết với một công ty IT ở Hàn
"PHP Dev (JavaScript, Laravel, OOP)",FULL_TIME,You'll love it,"JavaScript, PHP, Laravel","199 Điện Biên Phủ, Binh Thanh, Ho Chi Minh",J&T Express,J&T Express
05 PHP / Laravel Developer,FULL_TIME,You'll love it,"PHP, ReactJS, Laravel","1 Nguyen Huy Tuong, Thanh Xuan, Ha Noi",Đất Xanh Miền Bắc,Công ty thành viên của Đất Xanh Corp
Fullstack Dev (NodeJS/ReactJS),FULL_TIME,You'll love it,"JavaScript, NodeJS, ReactJS","302 Nguyen Van Dau Street, Ward 11, Binh Thanh, Ho Chi Minh",SKY LINE,Mobile Payment & Technology Solutions
Mobile Apps Developer (Android/Java),FULL_TIME,You'll love it,"Java, Android","No. 39-41, D4 Street, Him Lam Residential Area, Tan Hung Ward, District 7, Ho Chi Minh",IES Vietnam ,IES Vietnam 
DevOps Operation,FULL_TIME,You'll love it,"DevOps, System Engineer","222 Pasteur, District 3, Ho Chi Minh",DatVietVAC,The largest and vertically integrated media & entertainment group that provides end-to-end solutions
"Java Developer (Java, SQL)",FULL_TIME,You'll love it,"SQL, Java, Spring","No. 39-41, D4 Street, Him Lam Residential Area, Tan Hung Ward, District 7, Ho Chi Minh",IES Vietnam ,IES Vietnam 
