title,job_type,salary,skills,address,company_name,company_description
Sr Fullstack Developer (Java/ReactJS),FULL_TIME,You'll love it,"Java, PostgreSql, ReactJS",Cloud Technology,Cloud Technology,Cloud Technology
".NET Developer (Database, SQL, C#)",FULL_TIME,You'll love it,".NET, Database, SQL",Together We Grow,Groove Technology,Together We Grow
"Lead/Sr. Pen Tester (Security, QA QC)",FULL_TIME,You'll love it,"Tester, English, QA QC",LOOKING FOR A PLACE TO MAKE YOUR MARK? LOOK NO FURTHER.,VDC in partnership with PYCOGROUP,LOOKING FOR A PLACE TO MAKE YOUR MARK? LOOK NO FURTHER.
Software Manual QA Tester,FULL_TIME,You'll love it,"Tester, QA QC",Together We Grow,Groove Technology,Together We Grow
"IT Support (System Engineer, Networking)",FULL_TIME,18 - 20m,"IT Support, System Engineer, Networking",CHẤT LƯỢNG TẠO NÊN THƯƠNG HIỆU,Shynh House,CHẤT LƯỢNG TẠO NÊN THƯƠNG HIỆU
"DevOps Engineer (Java, SQL)",FULL_TIME,You'll love it,"DevOps, SQL, Java",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
CV Đảm bảo chất lượng công nghệ (QA QC),FULL_TIME,You'll love it,"QA QC, System Engineer",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
CVCC tư vấn & phân tích nghiệp vụ,FULL_TIME,You'll love it,"Business Analyst, English",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
5 Embedded Software Tester (Automotive),FULL_TIME,You'll love it,"Embedded, C language, Tester",The Bosch Group is a leading global supplier of technology and services,Robert Bosch Engineering And Business Solutions,The Bosch Group is a leading global supplier of technology and services
10 Embedded Software Dev (Automotive),FULL_TIME,You'll love it,"Embedded, English, C language",The Bosch Group is a leading global supplier of technology and services,Robert Bosch Engineering And Business Solutions,The Bosch Group is a leading global supplier of technology and services
Senior Solution Architect - Up to $4000,FULL_TIME,Up to $4000,"Software Architect, Java, Spring",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
Business Analyst (English),FULL_TIME,Up to 1.300 usd,"Business Analyst, English, Project Manager",A leading company in offering and consulting business management solution,DiCentral,A leading company in offering and consulting business management solution
"Technical Architect (Java, NodeJS)",FULL_TIME,"1,500 - 3,000 USD","Java, Software Architect, NodeJS","MTI TECHNOLOGY Co., Ltd",MTI TECHNOLOGY,"MTI TECHNOLOGY Co., Ltd"
Mobile Automation Test,FULL_TIME,You'll love it,"Tester, Android, iOS",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
Performance Automation Test,FULL_TIME,You'll love it,"Tester, Agile, SQL",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
Sr Frontend Developer ( AngularJS),FULL_TIME,You'll love it,"AngularJS, HTML5, JavaScript",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
"Senior Mobile Dev (iOS, Kotlin, Swift)",FULL_TIME,You'll love it,"iOS, Swift, Kotlin",Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam,Techcombank,Trở thành Ngân hàng tốt nhất và doanh nghiệp hàng đầu Việt Nam
"Front-End Dev (HTML5, CSS, WordPress...)",FULL_TIME,"Up to ~1,500 usd","HTML5, CSS, Wordpress",Stand out from the crowd,"Allgrowlabo Co.,Ltd.",Stand out from the crowd
"06 .NET Developers (C#, ASP.NET, MVC)",FULL_TIME,Up to 1300 usd,"Angular, C#, ASP.NET",A leading company in offering and consulting business management solution,DiCentral,A leading company in offering and consulting business management solution
"Senior Backend (Python, Golang, NodeJs)",FULL_TIME,You'll love it,"Python, NodeJS, Golang",The largest and vertically integrated media & entertainment group that provides end-to-end solutions,DatVietVAC,The largest and vertically integrated media & entertainment group that provides end-to-end solutions
Lead Data Scientist,FULL_TIME,Negotiable,"Team Leader, Python, SQL","At Zalo, we build world-class tech products used and loved by millions.",Zalo,"At Zalo, we build world-class tech products used and loved by millions."
"PHP Developer ( Laravel, JavaScript )",FULL_TIME,You'll love it,"PHP, JavaScript, Laravel",Tập đoàn Công nghệ & Tài chính G-Group,G-Group,Tập đoàn Công nghệ & Tài chính G-Group
Senior DevOps Engineer,FULL_TIME,Up to $3000,"DevOps, Java, AWS",UNLIMITED CREATIVITY AND BREAKTHROUGH,INSPIRE LAB TECHNOLOGY,UNLIMITED CREATIVITY AND BREAKTHROUGH
"Database Integration/Data (ETL,OLTP, BI)",FULL_TIME,You'll love it,"Database, Oracle",One of the leading commercial joint stock banks in Vietnam,Vietnam International Bank (VIB),One of the leading commercial joint stock banks in Vietnam
Backend NodeJS (JavaScript/MySQL)~ $2000,FULL_TIME,Up to 1.800 usd,"NodeJS, MySQL, JavaScript",INFORMATION TECHNOLOGY AND SERVICES,iCheck,INFORMATION TECHNOLOGY AND SERVICES
Front-End Leader (ReactJS/JavaScript),FULL_TIME,You'll love it,"JavaScript, Team Leader, ReactJS",POPS Worldwide is a leading digital entertainment company & based in VN,POPS Worldwide,POPS Worldwide is a leading digital entertainment company & based in VN
"Middle PHP developer (MySQL, Laravel)",FULL_TIME,You'll love it,"PHP, MySQL, Laravel","Công ty KaiyouIT là công ty 2 thành viên Nhật bản và Việt Nam, công ty thành lập vào tháng 2/2019",KaiyouIT,"Công ty KaiyouIT là công ty 2 thành viên Nhật bản và Việt Nam, công ty thành lập vào tháng 2/2019"
Senior Consultant (SQL/Oracle/Database),FULL_TIME,You'll love it,"Business Analyst, Database, SQL",Just Analytics,Just Analytics,Just Analytics
"Senior Backend Java Dev. (Spring, MySQL)",FULL_TIME,"From $2,000","Java, MySQL, Spring","Vincere is an award winning tech startup with offices in Singapore, Vietnam and Sydney, Australia",Vincere,"Vincere is an award winning tech startup with offices in Singapore, Vietnam and Sydney, Australia"
Senior RPA Developer,FULL_TIME,You'll love it,"Java, Agile, .NET","It's not only a job, it's also a career",VPBank,"It's not only a job, it's also a career"
Tester (QA QC),FULL_TIME,You'll love it,"QA QC, Tester",TP Entertainment,TP Entertainment,TP Entertainment
Android Dev (NDK/Java/React Native),FULL_TIME,You'll love it,"React Native, Java, Android",Island Peak Cloud,Island Peak Cloud,Island Peak Cloud
iOS Dev(ObjectiveC/Swift/React Native),FULL_TIME,You'll love it,"React Native, Objective C, iOS",Island Peak Cloud,Island Peak Cloud,Island Peak Cloud
"Junior/Senior .NET Dev (C#, .NET Core)",FULL_TIME,You'll love it,".NET, C#, ReactJS",Titan Technology Corporation,Titan Technology Corporation,Titan Technology Corporation
(Junior/Senior) Business Analyst - ERP,FULL_TIME,"Up to 1,200 usd","Business Analyst, ERP, QA QC",Công ty TNHH Giải pháp Công nghệ Xboss,xboss,Công ty TNHH Giải pháp Công nghệ Xboss
Junior Software Tester,FULL_TIME,You'll love it,"Tester, English, QA QC",AdNovum,AdNovum Vietnam,AdNovum
"Junior Automation Tester (C#, Selenium)",FULL_TIME,Attractive,"C#, English, QA QC","ASW Global - Australian-based company with offices across Vietnam, the Philippines and Malaysia.",ASWHITE VIETNAM,"ASW Global - Australian-based company with offices across Vietnam, the Philippines and Malaysia."
PHP Developer (CodeIgniter/Wordpress),FULL_TIME,You'll love it,"PHP, JavaScript, Wordpress",Island Peak Cloud,Island Peak Cloud,Island Peak Cloud
Frontend Developer (ReactJs / VueJs ),FULL_TIME,You'll love it,"ReactJS, JavaScript, VueJS",Island Peak Cloud,Island Peak Cloud,Island Peak Cloud
"FinTech Frontend Dev (JavaScript, React)",FULL_TIME,"1,200 - 1,800 USD","JavaScript, CSS, ReactJS",New Wealth: B2B FinTech for digital advice and front-office transformation ,New Wealth,New Wealth: B2B FinTech for digital advice and front-office transformation 
"System Admin (IT Support, Networking)",FULL_TIME,Attractive,"IT Support, System Admin, Networking",Một trong những bệnh viện tư nhân đầu tiên tại trung tâm thủ đô Hà Nội,Hong Ngoc Hospital,Một trong những bệnh viện tư nhân đầu tiên tại trung tâm thủ đô Hà Nội
"PHP developer (Laravel, MySQL)",FULL_TIME,"500 - 1,500 USD","PHP, MySQL, Laravel","""Together"" ""Happiness"" ""Lights""",TOMOSIA Việt Nam,"""Together"" ""Happiness"" ""Lights"""
"Tester (MySQL, SQL) - Up to $1200",FULL_TIME,"500 - 1,200 USD","Tester, MySQL, SQL",Công ty hoạt động trong lĩnh vực cung cấp giải pháp và tích hợp hệ thống thông tin y tế cho Nhật Bản,Ominext,Công ty hoạt động trong lĩnh vực cung cấp giải pháp và tích hợp hệ thống thông tin y tế cho Nhật Bản
"Frontend Dev (JavaScript, HTML5, CSS)",FULL_TIME,"600 - 1,800 USD","JavaScript, HTML5, CSS",Digital Creative Studio With Top 1% Talent In Asia,Sun* Inc.,Digital Creative Studio With Top 1% Talent In Asia
Business Analyst (RPA Project),FULL_TIME,You'll love it,"Business Analyst, Tester",CÔNG TY CỔ PHẦN SISUA DIGITAL VIỆT NAM,Sisua Digital Vietnam,CÔNG TY CỔ PHẦN SISUA DIGITAL VIỆT NAM
Senior Engineering Manager,FULL_TIME,You'll love it,"Manager, System Engineer, Project Manager",San Francisco based software company that provides advanced solutions for cyber security industry,OPSWAT Software Vietnam,San Francisco based software company that provides advanced solutions for cyber security industry
"C++ Developer (Windows, Linux, Qt)",FULL_TIME,You'll love it,"C++, Linux, OOP",San Francisco based software company that provides advanced solutions for cyber security industry,OPSWAT Software Vietnam,San Francisco based software company that provides advanced solutions for cyber security industry
C++ Embedded Engineer ( Biết tiếng hàn),FULL_TIME,"500 - 1,500 USD","C++, C language, Embedded","Công ty hoạt động trong lĩnh vực IT ,BPO ",Brycen Vietnam,"Công ty hoạt động trong lĩnh vực IT ,BPO "
5 Senior FullStack Engineers (Java),FULL_TIME,You'll love it,"Java, Python, NodeJS",VinBrain,VINBRAIN,VinBrain
Frontend Lead (ReactJS/VueJS/JavaScript),FULL_TIME,You'll love it,"JavaScript, ReactJS, VueJS",NFQ Asia is part of the global NFQ Group. We help ambitious fast-moving international startups,NFQ Asia (8bit Rockstars),NFQ Asia is part of the global NFQ Group. We help ambitious fast-moving international startups
"Java Fullstack (Spring, Angular, SQL)",FULL_TIME,"Up to $2,000","Java, SQL, JavaScript",We are combination of talent people who always love challenging and discovering new limitations.,LEAP,We are combination of talent people who always love challenging and discovering new limitations.
Web Frontend Engineer (JavaScript/HTML5),FULL_TIME,You'll love it,"JavaScript, HTML5, UI-UX",Woowa Brothers Viet Nam ,Woowa Brothers,Woowa Brothers Viet Nam 
Senior Fullstack NodeJS Dev (ReactJS),FULL_TIME,Up to $2500,"NodeJS, JavaScript, ReactJS",The leading provider of software outsourcing services in Vietnam,FPT Software,The leading provider of software outsourcing services in Vietnam
Junior Developer (Salesforce/PHP/Java),FULL_TIME,"600 - 1,500 USD","Java, Python, PHP",furuCRM,furuCRM Viet Nam,furuCRM
5 .Net Developers.Mid - Full 13th salary,FULL_TIME,"1,000 - 1,600 USD","C#, JavaScript, .NET",Do you like to be challenged? Do you like working with global teams? You might be a good fit for us!,AltSource ,Do you like to be challenged? Do you like working with global teams? You might be a good fit for us!
