title,job_type,skills,company_name,company_description,address
"Senior Android Developer Kotlin, MVC",FULL_TIME,"Android, MVC, Kotlin",Dirox,A high quality Software Products and Websites Outsourcing company,"69 D2, Binh Thanh, Ho Chi Minh"
BackEnd Senior Developer/Tech Lead,FULL_TIME,"NodeJS, AWS, Spring",PRINCETON ACADEMY,Fast growing edtech startup that helps Vietnamese kids to talk native English and think critically.,"458 Phố Minh Khai, Vinhomes Times City, Vinh Tuy, Hai Ba Trung, Ha Noi"
Front-End Leader ReactJS/JavaScript,FULL_TIME,"JavaScript, Team Leader, ReactJS",POPS Worldwide,POPS Worldwide is a leading digital entertainment company & based in VN,"285 Cách Mạng Tháng 8, District 10, Ho Chi Minh"
"Fullstack Ruby Developer Ruby,ReactJS",FULL_TIME,"Ruby, Ruby on Rails, ReactJS",SkyLab, SkyLab believes in the connectivity and network of things,"208 Nguyen Trai, District 1, Ho Chi Minh"
Manual Tester QA QC,FULL_TIME,"QA QC, Tester",LOGIVAN,LOGIVAN is a pioneering technology start-up that is transforming the fragmented trucking industry,"D2 Giảng Võ, Ba Dinh, Ha Noi"
Mobile Developer React Native,FULL_TIME,"React Native, Android, ReactJS",LOGIVAN,LOGIVAN is a pioneering technology start-up that is transforming the fragmented trucking industry,"D2 Giảng Võ, Ba Dinh, Ha Noi"
Senior Python Developer,FULL_TIME,"Python, Database, PostgreSql",Dirox,A high quality Software Products and Websites Outsourcing company,"69 D2, Binh Thanh, Ho Chi Minh"
Senior Front-End Developer,FULL_TIME,"Java, CSS, JavaScript",Karros Technologies,Innovative Transportation Solutions,"02 Hồng Hà, Tan Binh, Ho Chi Minh"
Experienced C++ Developer Linux,FULL_TIME,"C++, Linux, Embedded",DEK Technologies,An Australian outsourcing design company with experience in all aspects of project life cycle,"121 Le Loi, District 1, Ho Chi Minh"
"Junior .NET Developers C#, ASP.NET ",FULL_TIME,".NET, C#, ASP.NET",JUST-IN-TIME SOLUTIONS (JITS),JITS - Cung cấp giải pháp phần mềm cho các ngân hàng và công ty tài chính hàng đầu ở Đông Nam Á,"Số 3A ngõ 495 Nguyễn Trãi, Thanh Xuan, Ha Noi"
Frontend Developer HTML/CSS/UI-UX/Java,FULL_TIME,"UI-UX, HTML5, ReactJS",Magnolia,People are at the heart of company. Wait no more to become a fellow Magnolian with a CMS product,"Etown 1 Building, Unit 7.10, 364 Cong Hoa Street, Tan Binh, Ho Chi Minh"
Senior VueJS Developer,FULL_TIME,"VueJS, JavaScript, Hybrid",Dirox,A high quality Software Products and Websites Outsourcing company,"69 D2, Binh Thanh, Ho Chi Minh"
"Dev Operations Application C#, PHP",FULL_TIME,"C#, PHP, DevOps",Citigo Software,Citigo là công ty cung cấp giải pháp công nghệ cho doanh nghiệp phổ biến tại Đông Nam Á.,"1B Yet Kieu , Hoan Kiem, Ha Noi"
Senior ReactJS Developer Up to 2500,FULL_TIME,"ReactJS, JavaScript",LARION,One of the leading software outsourcing services and business solutions provider,"QTSC Building 1, Quang Trung Software City, District 12, Ho Chi Minh"
Leader BackendJavaScript/NodeJS 2000,FULL_TIME,"JavaScript, NodeJS, ReactJS",Fitmed,"Tư vấn chiến lược, cung cấp phần mềm ngành y","32/2 Thong Nhat, Phuong 10, Go Vap, Ho Chi Minh"
"3 PHP Dev JavaScript, HTML5 Upto 1500",FULL_TIME,"PHP, HTML5, JavaScript",Nexty Việt Nam,Nexty Việt Nam - Một công ty công nghệ Blockchain hàng đầu khu vực Châu Á,"32 - lô TT02 - HD Mon City, 4 Hàm Nghi, Nam Tu Liem, Ha Noi"
Frontend Dev ReactJS/Javascript 1500,FULL_TIME,"ReactJS, Linux, Database",Nexty Việt Nam,Nexty Việt Nam - Một công ty công nghệ Blockchain hàng đầu khu vực Châu Á,"32 - lô TT02 - HD Mon City, 4 Hàm Nghi, Nam Tu Liem, Ha Noi"
5 Senior FullStack Engineers Java,FULL_TIME,"Java, Python, NodeJS",VINBRAIN,VinBrain,"Tầng 7, VinMec International Clinic, Times City, Hai Ba Trung, Ha Noi"
"Mobile Apps Android, iOS, React Native",FULL_TIME,"iOS, Android, React Native",Neos Việt Nam,Neos VN là công ty IT 100% vốn Nhật Bản chuyên thiết kế phát triển ứng dụng chạy trên nền smartphone,"1 Dao Duy Anh, Dong Da, Ha Noi"
"IT Operations Help Desk, English",FULL_TIME,"Agile, English, IT Support",SignKeys,Signkeys Technology Vietnam - Center of Excellence,"87 Vuong Thua Vu, Thanh Xuan, Ha Noi"
Java Developer  Middle/Senior,FULL_TIME,"Java, MySQL, Spring",UNIT Corp,UNIT CORP,"374 Vo Van Tan Street, District 3, Ho Chi Minh"
Frontend Dev Wordpress/JavaScript/PHP,FULL_TIME,"Wordpress, JavaScript, PHP",Advesa Digital Solutions,Advesa Digital Solutions,"152 Phó Đức Chính Trúc Bạch Ba Đình Hà Nội Vietnam, Ba Dinh, Ha Noi"
"Backend Dev Python/ Django, SQL",FULL_TIME,"Python, SQL, Django",Advesa Digital Solutions,Advesa Digital Solutions,"152 Phó Đức Chính Trúc Bạch Ba Đình Hà Nội Vietnam, Ba Dinh, Ha Noi"
Project Manager,FULL_TIME,"Project Manager, Agile",Golden Owl Consulting Company,Golden Owl Consulting Company,"MB Bank Building, 538 Cách Mạng Tháng Tám, Ward 11, District 3, Ho Chi Minh"
Senior Business Analyst,FULL_TIME,"Business Analyst, Python, SQL",Home Credit Vietnam ,Home Credit Vietnam Finance Company Limited ,"20 Nguyen Dang Giai, District 2, Ho Chi Minh"
30 Java Dev Junior/Senior - Upto 2500,FULL_TIME,"Java, Oracle, Spring",VIETTELIMEX ( A Member of Viettel Group), VIETTELIMEX -Công ty TNHH Nhà nước Một Thành viên Thương mại và Xuất nhập khẩu Viettel,"Tòa nhà Thành Công, 80 Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi"
"Backend Developer Java, MySQL, NodeJS",FULL_TIME,"Java, MySQL, NodeJS",Canal Circle,"Want to grow professionally, make an impact and score a lot of karma points?","1 Đinh Lễ, Tràng Tiền, Hoan Kiem, Ha Noi"
Ky su dien tu vien thong Networking,FULL_TIME,"Networking, System Engineer, English",VNPT - NEC | VINECO,VINECO là công ty liên doanh giữa Tập đoàn bưu chính viễn thông VNPT và tập đoàn NEC Nhật Bản,"Tòa nhà Tiến Vinh, 281-283 Nguyễn Thiện Thuật, District 3, Ho Chi Minh"
UI-UX Designer HTML/CSS 500 - 1200,FULL_TIME,"Designer, HTML5, UI-UX",Thai Son Soft,Công ty Phát triển công nghệ Thái Sơn là công ty hoạt động trong lĩnh vực CNTT,"15 Đặng Thùy Trâm, Hoàng Quốc Việt, Cau Giay, Ha Noi"
"Junior Java DevSpring,MVC- Up to 1200",FULL_TIME,"Java, MVC, Spring",Bkav,"Công ty hàng đầu trong lĩnh vực sản xuất - kinh doanh phần mềm, dịch vụ CNTT","01 Khu Do Thi Yen Hoa, Cau Giay, Ha Noi"
02 Senior UI-UX Designer,FULL_TIME,"UI-UX, JavaScript, Designer",POPS Worldwide,POPS Worldwide is a leading digital entertainment company & based in VN,"285 Cách Mạng Tháng 8, District 10, Ho Chi Minh"
Java Developer Spring/MySQL Upto 2000,FULL_TIME,"Java, MySQL, Spring",DAC Data Science Vietnam,Leading company in big data and AI," 2A floor, Hong Kong Tower, 243A De La Thanh, Lang Thuong, Dong Da, Hanoi, Viet Nam , Dong Da, Ha Noi"
"Fullstack Developer PHP, Laravel, MVC",FULL_TIME,"PHP, MVC, Laravel",TECH JDI,"Tech JDI ""Technology Joint Development Initiative""","42 Tu Cuong, Phuong 4, Quan Tan Binh, Ho Chi Minh, Tan Binh, Ho Chi Minh"
Frontend EngineerJavaScript/TypeScript,FULL_TIME,"JavaScript, HTML5, CSS",TECH JDI,"Tech JDI ""Technology Joint Development Initiative""","42 Tu Cuong, Phuong 4, Quan Tan Binh, Ho Chi Minh, Tan Binh, Ho Chi Minh"
Data Engineer Python/NodeJS/Scala40M,FULL_TIME,"Python, NodeJS, Scala",Knorex ,Knorex is a leading provider of Precision Performance Marketing technologies and solutions,"62 Tran Quang Khai - IMC building, District 1, Ho Chi Minh"
Security Operations Engineer,FULL_TIME,"DevOps, Python, C++",AXON,AXON,"11 Doan Van Bo, District 4, Ho Chi Minh"
Frontend Angular Developer Agile,FULL_TIME,"Angular, Agile, English",FPT Software,The leading provider of software outsourcing services in Vietnam,"FPT Cau Giay Building, Cau Giay, Ha Noi"
"DevOps Engineer AWS, Python",FULL_TIME,"DevOps, Python, AWS",Yojee,Come join one of Singapore's most exciting and fastest growing technology companies!,"384 Hoàng Diệu, District 4, Ho Chi Minh"
05 Junior Web Dev Laravel or Nodejs,FULL_TIME,"Laravel, NodeJS, PHP",Dũng Mori,"Là công ty con của “Nihongonomori"",“Dũng Mori"" tự hào là thương hiệu giáo dục tiếng Nhật hàng đầu VN","19 Nguyễn Trãi, Thanh Xuan, Ha Noi"
Fullstack Dev  Java / AngularJS/ HTML ,FULL_TIME,"Java, HTML5, AngularJS",VDSmart,Công ty CP Công nghệ VDSmart,"Phòng 207, Tòa nhà Viện Kỹ thuật Điều khiển và Tự động hóa - Trường ĐHBK HN Số 1 Đại Cồ Việt, Q. Hai Bà Trưng, Hà Nội., Hai Ba Trung, Ha Noi"
"Solution Architect Cloud, AWS, DevOps",FULL_TIME,"DevOps, AWS, Cloud",TymeGlobal,TymeGlobal is building multi-country digital banks with high-tech and high-touch solutions.,"HIU Tower, 215 Điện Biên Phủ, Phường 15, Binh Thanh, Ho Chi Minh"
"05 Java Developers Spring, J2EE",FULL_TIME,"Java, J2EE, Spring",IFI Solution - An NTT Data Company,Công ty hàng đầu về gia công phần mềm cho khách hàng Châu Âu,"98 Nguy Nhu Kon Tum, Thanh Xuan, Ha Noi"
Ky su RPA Robotic Process Automation,FULL_TIME,"Java, Python, C++",Viettel Group,SHOW US YOUR WAY,"1 Tran Huu Duc, Hanoi, Nam Tu Liem, Ha Noi"
Senior QA Automation Tester SQL,FULL_TIME,"Tester, SQL, QA QC",FPT Software,The leading provider of software outsourcing services in Vietnam,"FPT Software Đường D1 Phường Tân Phú , District 9, Ho Chi Minh"
Fullstack Java Dev -Sign bonus up to 50M,FULL_TIME,"Java, J2EE, Spring",FPT Software,The leading provider of software outsourcing services in Vietnam,"FPT Software Đường D1 Phường Tân Phú , District 9, Ho Chi Minh"
Senior .NET Dev - Signing bonus upto 50M,FULL_TIME,".NET, C#, ASP.NET",FPT Software,The leading provider of software outsourcing services in Vietnam,"FPT Software Đường D1 Phường Tân Phú , District 9, Ho Chi Minh"
"PHP Developers MySQL, Laravel1500",FULL_TIME,"PHP, MySQL, Laravel",PowerGate Software,PowerGate is one of the top companies specializing in software development in Vietnam.,"1 Trung Hoa, Cau Giay, Ha Noi"
02 Manual Tester QA QC - Up to 18M,FULL_TIME,"Tester, QA QC",Newwave Solutions,A software solutions provider and software outsourcing company ," Duong Dinh Nghe, Cau Giay, Ha Noi"
UX/UI Designer,FULL_TIME,"UI-UX, Designer",ASIM TELECOM,ASIM TELECOM,"09 Song Nhue Street, Tan Binh, Ho Chi Minh"
"Sr. Java Developer Spring, JavaScript",FULL_TIME,"Java, JavaScript, Spring",SEN Platform,Technology that helps every student learn effectively in their very own way.,"Sunrise Cityview, 33 Nguyễn Hữu Thọ, phường Tân Hưng, District 7, Ho Chi Minh"
Senior NodeJS Developer,FULL_TIME,"NodeJS, English, Cloud",Dirox,A high quality Software Products and Websites Outsourcing company,"69 D2, Binh Thanh, Ho Chi Minh"
Technical Product Owner/Product Manager,FULL_TIME,"Product Manager, Project Manager, Business Analyst",InnomizeTech,Our aim is to create awesome products that will make your everyday life easier,"2A/64A Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Tan Binh, Ho Chi Minh"
"Bridge System Engineer BrSE, Japanese",FULL_TIME,"Bridge Engineer, Japanese, C#",Pasona Tech Việt Nam,"Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ...","364 Cộng Hòa, Tan Binh, Ho Chi Minh"
"02 Testers QA QC, Japanese",FULL_TIME,"Tester, Japanese, QA QC",Pasona Tech Việt Nam,"Pasona Tech Việt Nam chuyên cung cấp dịch vụ phần mềm, kỹ thuật ứng dụng, ...","364 Cộng Hòa, Tan Binh, Ho Chi Minh"
"6 .NET/C# developers 1,000-1,500 net",FULL_TIME,".NET, C#, MVC",Fitech,Providing a qualified service for your ICT resources requirement,"5 Flr., The HM Town Building, 412 Nguyen Thi Minh Khai Str., Ward 5, District 3, Ho Chi Minh"
Sr. Java Developer JavaScript/SQL/CSS,FULL_TIME,"Java, CSS, SQL",Nakivo,Providing continuous data protection software for VMware-based virtual servers.,"16 Le Quy Don, Phu Nhuan, Ho Chi Minh"
"02 PHP Developers MySQL,NoSQL",FULL_TIME,"PHP, MySQL, NoSQL","NitroTech Asia, Inc","We Creat Market Leading Digital Products, Experiences & Platforms that Tranform Business","Tầng 9, Tòa Nhà ACB, 218 Bạch Đằng, P. Phước Ninh, Hai Chau, Da Nang"
QC Senior  Team Leader,FULL_TIME,"QA QC, Team Leader, Tester",Sendo.vn,Công ty Cổ phần Công nghệ Sen Đỏ - Đơn vị sở hữu sàn TMĐT hàng đầu Việt Nam,"29 Đường Tân Thuận (Tòa nhà FPT Tân Thuận), District 7, Ho Chi Minh"
10 Embedded Software Engineers C++,FULL_TIME,"Embedded, C++, C language",Hella Vietnam,One of the world‘s leading suppliers to the automotive sector,"06 Nguyen Thi Minh Khai, District 1, Ho Chi Minh"
"Fullstack Dev Java, JavaScript",FULL_TIME,"Java, JavaScript, ReactJS",mgm technology partners Vietnam,mgm - Software Engineers to the bones. We code for Fortune 100 customers and have fun while doing so,"7 Phan Chau Trinh, Hải Châu 1, Hai Chau, Da Nang"
Senior Business Analyst Mobile App,FULL_TIME,"Business Analyst, English",BDA.SC,BDA.SC,"Tang 9, So 80 Tran Thai Tong, Dich Vong Hau, Cau Giay, Ha Noi"
Java Developer  Up to 2000 ,FULL_TIME,"Java, C#, C++",Elcom,Tập đoàn công nghệ hàng đầu Việt Nam trong lĩnh vực Điện tử-Viễn thông-Tin học,"15  Duy Tân, Cau Giay, Ha Noi"
Solution Architect .NET,FULL_TIME,"Software Architect, English, .NET",Episerver,Episerver ,"165 Thái Hà, Dong Da, Ha Noi"
Backend Developer Golang,FULL_TIME,"Golang, MySQL",Techub,We are a team of passionate technology and business developers,"Park 7 Vinhomes Central Park, 208 Nguyễn Hữu Cảnh, phường 22, Binh Thanh, Ho Chi Minh"
Mid/Senior .Net Developer  Microsoft C#,FULL_TIME,".NET, C#, SQL",Titan DMS ,Titan DMS is a leading developer and supplier of cloud based software solutions,"182 Lê Đại Hành, District 11, Ho Chi Minh"
Mobile Dev Android/ iOS/ React Native,FULL_TIME,"React Native, Android, iOS",User Experience Researchers,"Our team consists of outstanding user researchers, creative designers, and IT developers","Toà nhà M.G Building, 345 Phạm Văn Bạch, Phường 15, Tan Binh, Ho Chi Minh"
1500 Mobile Games Unity C# Urgent,FULL_TIME,"Games, C#, Unity",Neos Việt Nam,Neos VN là công ty IT 100% vốn Nhật Bản chuyên thiết kế phát triển ứng dụng chạy trên nền smartphone,"1 Dao Duy Anh, Dong Da, Ha Noi"
"05 Data Engineers Database, AWS",FULL_TIME,"Database, Python, AWS",Pizza Hut Digital Ventures,Pizza Hut Digital Ventures,"Waseco Building - 10 Pho Quang Street, Ward 02, Tan Binh District, Ho Chi Minh, Tan Binh, Ho Chi Minh"
"Project ManagerAutocad,System Engineer",FULL_TIME,"Manager, System Engineer, Project Manager","Tin Bao Lan Co.,Ltd",.CÔNG TY TNHH TÍN BẢO LAN,"160/47 Bùi Đình Túy, P.12,Q. Bình Thạnh, Binh Thanh, Ho Chi Minh"
"Node.JS Developer  JavaScript, AWS ",FULL_TIME,"NodeJS, JavaScript, AWS","Br24 Vietnam Co., Ltd","BR24 VIETNAM CO., LTD","6 Nguyen Cong Hoan, Ngoc Khanh, Ba Dinh, Ha Noi"
Java Software Engineer ,FULL_TIME,"Java, English",Fortna Vietnam,Fortna - The Distributions Experts,"Pham Hung, Nam Tu Liem, Ha Noi"
"Senior Dev/Team Leader PHP, JavaScipt",FULL_TIME,"PHP, Team Leader, JavaScript",Hệ thống Giáo dục HOCMAI ,"Công ty hàng đầu về cung cấp các dịch vụ giáo dục, đặc biệt là dịch vụ học tập trực tuyến","Nguyễn Thị Thập, Cau Giay, Ha Noi"
Remote UX/Product Designer - Up to 1500,FULL_TIME,"UI-UX, English, Designer",Vsee Lab,"A telemedicine software company based in Silicon Valley, California","Ho Chi Minh, Not Available, Ho Chi Minh"
"02 QA/QC Engineer Automation, Manual",FULL_TIME,"Database, Tester, QA QC",Shopee,Shopee is the leading e-commerce platform in Southeast Asia and Taiwan.,"Saigon Centre 2, 67 Le Loi, District 1, Ho Chi Minh"
Junior DevOps Engineer PHP/Python,FULL_TIME,"DevOps, Python, PHP",Vietlink,We are a Communication Design company,"Lầu 11, Sonatus Tower, 15 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh"
"Java Engineer Spring, PostgresSQL",FULL_TIME,"Java, Database, Spring",Seven System Vietnam,Hire great people and give them freedom to be awesome.,"147 Ton Dat Tien Street, Tan Phong Ward, District 7, Ho Chi Minh"
Tester Manager QA/ AC,FULL_TIME,"Manager, Tester, QA QC",Koh Young Technology Inc,Delivery authentic values with true dedication and Professionalism,"Trang An Complex bldg, CT1, 1 Phùng Chí Kiên (TS & SQA office), Cau Giay, Ha Noi"
Senior Software Engineer Embedded -JD114,FULL_TIME,"Embedded, Japanese, C language","Toshiba Software Development (Viet Nam) Co, Ltd",A social infrastructure and digital products software company,"519 Kim Ma, Ba Dinh, Ha Noi"
"DevOps Engineer Docker, Kubernetes",FULL_TIME,"DevOps, Linux",Seven System Vietnam,Hire great people and give them freedom to be awesome.,"147 Ton Dat Tien Street, Tan Phong Ward, District 7, Ho Chi Minh"
Software Engineer for Java - JD112,FULL_TIME,"Java, JavaScript","Toshiba Software Development (Viet Nam) Co, Ltd",A social infrastructure and digital products software company,"519 Kim Ma, Ba Dinh, Ha Noi"
"5 Developer Python/C# Upto 1,600",FULL_TIME,"Python, C#",META Vision ,A new startup for brilliant solutions for industrial market,"No.17, X5 area, Alley 60, Duong Khue Str., My Dinh 2 Ward, Nam Tu Liem, Ha Noi"
Technical Team Lead PHP/Java/Golang,FULL_TIME,"Golang, NodeJS, PHP",OpenCommerce Group,Open Commerce Group,"360 Xa Dan, Dong Da, Ha Noi"
Senior Front-End Developer,FULL_TIME,"ReactJS, English, Angular",NashTech,"Global software, offshore development and IT company.","364 Cong Hoa, Tan Binh, Ho Chi Minh"
Senior/Leader Business Analyst  2000,FULL_TIME,"Business Analyst, English",Innotech Vietnam Corporation,A high quality software outsourcing services and business solutions provider for Banking and Airline,"33 Ba Vi Street, Ward 04, Tan Binh District, Ho Chi Minh, Tan Binh, Ho Chi Minh"
Senior / Lead VueJS Frontend Engineer,FULL_TIME,"VueJS, ReactJS, Angular",Raksul Inc,"Better Systems, Better World.","62 Tran Quang Khai, Tan Dinh Ward, District 1, Ho Chi Minh"
"Fullstack Dev ReactJs, Laravel, MySQL",FULL_TIME,"ReactJS, MySQL, Laravel",Docosan,Docosan,"Thạnh Mỹ Lợi, District 2, Ho Chi Minh"
DevOps Engineer,FULL_TIME,"DevOps, Linux",SSI Securities Corporation,SSI – A leading Financial Corporation,"1 Ngô Quyền, Hoan Kiem, Ha Noi"
Senior Frontend Software Engineer,FULL_TIME,"JavaScript, ReactJS, Scala",AXON,AXON,"11 Doan Van Bo, District 4, Ho Chi Minh"
Delivery Manager,FULL_TIME,"Project Manager, Team Leader, Manager",Pizza Hut Digital Ventures,Pizza Hut Digital Ventures,"Waseco Building - 10 Pho Quang Street, Ward 02, Tan Binh District, Ho Chi Minh, Tan Binh, Ho Chi Minh"
05 Backend Developers Java/OOP/Oracle,FULL_TIME,"Java, OOP, Oracle",LeadsGen,"LEADSGEN CO.,LTD","79 P403, Tòa Rainbow, số 79 Đường 19/5 KĐT Văn Quán, Ha Dong, Ha Noi"
"Fullstack Developer NodeJS, PHP, HTML5",FULL_TIME,"NodeJS, HTML5, PHP",Holoscribe Limited,Do the best,"Toong Coworking Space, 25T2 Hoang Dao Thuy, Cau Giay, Ha Noi"
Technical Product Manager - TPM,FULL_TIME,"Product Manager, Project Manager, Manager","Got It, Inc.",10X the productivity by adding natural language understanding to tools and data,"Tầng 9, HCMCC Building, 249A Thụy Khuê, Tay Ho, Ha Noi"
Senior IT Project Manager English,FULL_TIME,"Project Manager, Agile, English",DatVietVAC,The largest and vertically integrated media & entertainment group that provides end-to-end solutions,"222 Pasteur, District 3, Ho Chi Minh"
"DBA Expert Database, MySQL, Linux",FULL_TIME,"MySQL, Linux, Database",CIMB Bank Vietnam,CIMB Bank Vietnam,"177 Hai Ba Trung - VRG Building, District 3, Ho Chi Minh"
"Backend Game Dev MySQL, Java 1500",FULL_TIME,"Games, MySQL, Java",ONESOFT - ABI TEAM,OneSoft tự hào là công ty phát triển game di động hàng đầu Việt Nam.,"Tầng 14, Toà nhà Detech Tower II, số 107 Nguyễn Phong Sắc, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi"
"Unity 2D/3D Dev UI-UX,C#/ Java 1500",FULL_TIME,"Unity, UI-UX, Java",ONESOFT - ABI TEAM,OneSoft tự hào là công ty phát triển game di động hàng đầu Việt Nam.,"Tầng 14, Toà nhà Detech Tower II, số 107 Nguyễn Phong Sắc, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi"
"Backend Ruby Dev JavaScript, MySQL",FULL_TIME,"Ruby, MySQL, JavaScript","Vareal Vietnam Co., Ltd", Vareal Việt Nam là công ty chuyên về lĩnh vực công nghệ thông tin của Nhật,"Tòa Detech II, 107 Nguyễn Phong Sắc, Dịch Vọng Hậu, Cau Giay, Ha Noi"
"Web Engineer Java, PHP, Japanese N2",FULL_TIME,"PHP, Japanese, Java","MONEY FORWARD VIETNAM CO.,LTD",Top Fintech company in Japan,"21Fl, ETown Central Building, 11 Doan Van Bo, District 4, Ho Chi Minh"
Senior Winform/WPF .NET Developer,FULL_TIME,".NET, C#, SQL",Retail Management Hero,RMH is built to allow for a multitude of third-party add on integrations and application services.,"384 Hoang Dieu, District 4, Ho Chi Minh"
IT Comtor Japanese N2,FULL_TIME,"Japanese, PHP",Propolife Việt Nam,"Hoạt động trong lĩnh vực BĐS, thiết kế web, và  lĩnh vực công nghệ thông tin","6 Lê Thánh Tôn, District 1, Ho Chi Minh"
"Data Engineer Java,Python Up to 3000",FULL_TIME,"Database, Python, Java",FPT Software,The leading provider of software outsourcing services in Vietnam,"FPT Cau Giay Building, Cau Giay, Ha Noi"
".NET Developer C#, ASP .NET, 2-4 yrs",FULL_TIME,".NET, C#, ASP.NET",Pacific Technology,Công Ty TNHH Thương Mại Công Nghệ Thái Bình,"6 Thăng Long, Tan Binh, Ho Chi Minh"
Test Lead  Signing bonus up to 20M,FULL_TIME,"Tester, Team Leader, QA QC",FPT Software,The leading provider of software outsourcing services in Vietnam,"Nam Ky Khoi Nghia, Ngu Hanh Son, Da Nang"
Sr Android Developer Java/ Kotlin ,FULL_TIME,"Android, Java, Kotlin",Vega Corporation,Công ty dịch vụ trực tuyến và dịch vụ trên di động hàng đầu Việt Nam,"98 Hoang Quoc Viet, Cau Giay, Ha Noi"
Android Software Engineer - Up to 2000,FULL_TIME,"Android, Java",LG Development Center Vietnam,LG Vehicle Component Solutions Development Center Vietnam,"Tầng 34, tòa nhà Keangnam Landmark 72, đường Phạm Hùng, Nam Tu Liem, Ha Noi"
React Native Mobile Dev Android/iOS,FULL_TIME,"React Native, Android, iOS",Silentium Vietnam,Empower health-care value chain,"93 Nguyen Du - President Place, District 1, Ho Chi Minh"
C/C++ Software Engineer,FULL_TIME,"C++, OOP, C language",LG Development Center Vietnam,LG Vehicle Component Solutions Development Center Vietnam,"Tầng 34, tòa nhà Keangnam Landmark 72, đường Phạm Hùng, Nam Tu Liem, Ha Noi"
Backend Engineering Golang/Java/NodeJS,FULL_TIME,"Golang, NodeJS, Java",Silentium Vietnam,Empower health-care value chain,"93 Nguyen Du - President Place, District 1, Ho Chi Minh"
Tester QA/QC,FULL_TIME,"Tester, QA QC",Forix,Fastest Growing E-commerce Agency in Vietnam,"82 Tran Huy Lieu, Phu Nhuan, Ho Chi Minh"
05 Backend Engineer Python/GoLang,FULL_TIME,"Python, NodeJS, Golang",Shopee,Shopee is the leading e-commerce platform in Southeast Asia and Taiwan.,"Sonatus Building, 15 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh"
Junior Backend Developer NodeJS,FULL_TIME,"JavaScript, Python, NodeJS",ITR VN,"At ITR we build IoT systems, leverage Big Data and AI technologies to bring data insights to Life","Phòng 904, Tầng 9, Tòa nhà Saigon Paragon, Số 3 Nguyễn Lương Bằng, Phường Tân Phú, District 7, Ho Chi Minh"
Middle QA QC Tester,FULL_TIME,"QA QC, English, Tester",HOOZING,Organizing real estate market by bringing transparency and accessibility,"37 Ký Con, Phường Nguyễn Thái Bình, District 1, Ho Chi Minh"
"Software Dev. Manager C#, ASP.NET",FULL_TIME,"Manager, C#, ASP.NET",SSI Securities Corporation,SSI – A leading Financial Corporation,"1 Ngô Quyền, Hoan Kiem, Ha Noi"
RPA Project Junior Devs Python/C#,FULL_TIME,"C#, Python",Sisua Digital Vietnam,CÔNG TY CỔ PHẦN SISUA DIGITAL VIỆT NAM,"Toong IPH, Tầng 2, Indochina Plaza, Số 241 Xuân Thủy, Phường Dịch Vọng Hậu, Cau Giay, Ha Noi"
"Backend Engineer NodeJS, DevOps, Ruby",FULL_TIME,"Ruby, NodeJS, DevOps",LOGIVAN,LOGIVAN is a pioneering technology start-up that is transforming the fragmented trucking industry,"D2 Giảng Võ, Ba Dinh, Ha Noi"
5 Embedded Software Tester Automotive,FULL_TIME,"Embedded, C language, Tester",Robert Bosch Engineering And Business Solutions,The Bosch Group is a leading global supplier of technology and services,"364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh"
10 Embedded Software Dev Automotive,FULL_TIME,"Embedded, English, C language",Robert Bosch Engineering And Business Solutions,The Bosch Group is a leading global supplier of technology and services,"364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh"
"Project Manager Embedded, Automotive",FULL_TIME,"Project Manager, C language, Embedded",Robert Bosch Engineering And Business Solutions,The Bosch Group is a leading global supplier of technology and services,"364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh"
"Senior Android Developer Kotlin, Java",FULL_TIME,"Android, Java, Kotlin",ZALORA Group,ZALORA Group is Asia Pacific’s leading group of online fashion destinations.,"12 Ton Dan, District 4, Ho Chi Minh"
03 NodeJS Developer Javascript,FULL_TIME,"JavaScript, NodeJS, NoSQL",Woowa Brothers,Woowa Brothers Viet Nam ,"22nd Floor, Etown Central, 11 Doan Van Bo, Ward 12, Dist 4, HCMC , District 4, Ho Chi Minh"
Full Stack Java Developer,FULL_TIME,"Java, ReactJS",MOSO,MOSO builds products that help small companies transform their business,"273/10 To Hien Thanh, Ward 13, District 10, District 10, Ho Chi Minh"
React Native genius Mobile apps,FULL_TIME,"React Native, Android, iOS",ITEAL,We build AMAZING apps that you can be proud of,"StarCity - 23 Le Van Luong, Thanh Xuan, Ha Noi"
